ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2026-06-01 09:30:00.009379239-04:00,2026-06-01 13:30:00.009206756+00:00,10,2,38,C,A,0,309.82,80,128,172483,49479191,309.2,309.88,5,30,3,1,309.15,309.98,50,39,1,1,309.07,309.99,1,16,1,1,309.05,310.1,10,5,1,1,309.03,310.17,200,30,1,1,309.0,310.19,859,300,32,1,308.99,310.2,30,1,1,1,308.95,310.25,16,500,1,1,308.94,310.29,2,19,2,2,308.91,310.3,3,9,1,1,AAPL
2026-06-01 09:30:00.010298537-04:00,2026-06-01 13:30:00.010120220+00:00,10,2,38,A,A,1,309.94,16,128,178317,49480094,309.2,309.88,5,30,3,1,309.15,309.94,50,16,1,1,309.07,309.98,1,39,1,1,309.05,310.1,10,5,1,1,309.03,310.17,200,30,1,1,309.0,310.19,859,300,32,1,308.99,310.2,30,1,1,1,308.95,310.25,16,500,1,1,308.94,310.29,2,19,2,2,308.91,310.3,3,9,1,1,AAPL
2026-06-01 09:30:00.026459064-04:00,2026-06-01 13:30:00.026287682+00:00,10,2,38,T,N,0,309.31,100,128,171382,49493439,309.2,309.88,5,30,3,1,309.15,309.94,50,16,1,1,309.07,309.98,1,39,1,1,309.05,310.1,10,5,1,1,309.03,310.17,200,30,1,1,309.0,310.19,859,300,32,1,308.99,310.2,30,1,1,1,308.95,310.25,16,500,1,1,308.94,310.29,2,19,2,2,308.91,310.3,3,9,1,1,AAPL
2026-06-01 09:30:00.026503799-04:00,2026-06-01 13:30:00.026320906+00:00,10,2,38,T,N,0,309.31,85,128,182893,49493464,309.2,309.88,5,30,3,1,309.15,309.94,50,16,1,1,309.07,309.98,1,39,1,1,309.05,310.1,10,5,1,1,309.03,310.17,200,30,1,1,309.0,310.19,859,300,32,1,308.99,310.2,30,1,1,1,308.95,310.25,16,500,1,1,308.94,310.29,2,19,2,2,308.91,310.3,3,9,1,1,AAPL
2026-06-01 09:30:00.031531048-04:00,2026-06-01 13:30:00.031360659+00:00,10,2,38,A,A,0,309.76,35,128,170389,49498035,309.2,309.76,5,35,3,1,309.15,309.88,50,30,1,1,309.07,309.94,1,16,1,1,309.05,309.98,10,39,1,1,309.03,310.1,200,5,1,1,309.0,310.17,859,30,32,1,308.99,310.19,30,300,1,1,308.95,310.2,16,1,1,1,308.94,310.25,2,500,2,1,308.91,310.29,3,19,1,2,AAPL
2026-06-01 09:30:00.036946333-04:00,2026-06-01 13:30:00.036767356+00:00,10,2,38,C,A,0,309.76,35,128,178977,49503087,309.2,309.88,5,30,3,1,309.15,309.94,50,16,1,1,309.07,309.98,1,39,1,1,309.05,310.1,10,5,1,1,309.03,310.17,200,30,1,1,309.0,310.19,859,300,32,1,308.99,310.2,30,1,1,1,308.95,310.25,16,500,1,1,308.94,310.29,2,19,2,2,308.91,310.3,3,9,1,1,AAPL
2026-06-01 09:30:00.037750361-04:00,2026-06-01 13:30:00.037582558+00:00,10,2,38,A,A,0,309.81,70,128,167803,49503915,309.2,309.81,5,70,3,1,309.15,309.88,50,30,1,1,309.07,309.94,1,16,1,1,309.05,309.98,10,39,1,1,309.03,310.1,200,5,1,1,309.0,310.17,859,30,32,1,308.99,310.19,30,300,1,1,308.95,310.2,16,1,1,1,308.94,310.25,2,500,2,1,308.91,310.29,3,19,1,2,AAPL
2026-06-01 09:30:00.038197665-04:00,2026-06-01 13:30:00.038028088+00:00,10,2,38,A,A,0,309.81,66,128,169577,49504318,309.2,309.81,5,136,3,2,309.15,309.88,50,30,1,1,309.07,309.94,1,16,1,1,309.05,309.98,10,39,1,1,309.03,310.1,200,5,1,1,309.0,310.17,859,30,32,1,308.99,310.19,30,300,1,1,308.95,310.2,16,1,1,1,308.94,310.25,2,500,2,1,308.91,310.29,3,19,1,2,AAPL
2026-06-01 09:30:00.056164720-04:00,2026-06-01 13:30:00.055967874+00:00,10,2,38,C,A,0,309.81,70,128,196846,49513204,309.2,309.81,5,66,3,1,309.15,309.88,50,30,1,1,309.07,309.94,1,16,1,1,309.05,309.98,10,39,1,1,309.03,310.1,200,5,1,1,309.0,310.17,859,30,32,1,308.99,310.19,30,300,1,1,308.95,310.2,16,1,1,1,308.94,310.25,2,500,2,1,308.91,310.29,3,19,1,2,AAPL
2026-06-01 09:30:00.056278610-04:00,2026-06-01 13:30:00.056104557+00:00,10,2,38,C,A,0,309.81,66,128,174053,49513390,309.2,309.88,5,30,3,1,309.15,309.94,50,16,1,1,309.07,309.98,1,39,1,1,309.05,310.1,10,5,1,1,309.03,310.17,200,30,1,1,309.0,310.19,859,300,32,1,308.99,310.2,30,1,1,1,308.95,310.25,16,500,1,1,308.94,310.29,2,19,2,2,308.91,310.3,3,9,1,1,AAPL
