Price,Bids++,Asks++,Bid_Depth,Ask_Depth,Min_Bid_Ask,Selector_MCV,ln0_MCV,Bid_Surplus,Ask_Surplus,Abs_Delta,Check_on_Delta,S_Delta,Selector_MCI,MCV,Cliff_Value,Slack,Is_MCV_Tie,Is_Min_Delta,Clearing_Price
70,52,74,99469,74,74,0,0,99395,0,99395,0,0,0,55940,0,55866,0,0,497
71,48,82,99417,156,156,0,0,99261,0,99261,0,0,0,55940,0,55784,0,0,497
72,53,76,99369,232,232,0,0,99137,0,99137,0,0,0,55940,0,55708,0,0,497
73,52,77,99316,309,309,0,0,99007,0,99007,0,0,0,55940,0,55631,0,0,497
74,45,86,99264,395,395,0,0,98869,0,98869,0,0,0,55940,0,55545,0,0,497
75,55,82,99219,477,477,0,0,98742,0,98742,0,0,0,55940,0,55463,0,0,497
76,53,93,99164,570,570,0,0,98594,0,98594,0,0,0,55940,0,55370,0,0,497
77,54,81,99111,651,651,0,0,98460,0,98460,0,0,0,55940,0,55289,0,0,497
78,46,90,99057,741,741,0,0,98316,0,98316,0,0,0,55940,0,55199,0,0,497
79,50,84,99011,825,825,0,0,98186,0,98186,0,0,0,55940,0,55115,0,0,497
80,49,89,98961,914,914,0,0,98047,0,98047,0,0,0,55940,0,55026,0,0,497
81,56,88,98912,1002,1002,0,0,97910,0,97910,0,0,0,55940,0,54938,0,0,497
82,53,86,98856,1088,1088,0,0,97768,0,97768,0,0,0,55940,0,54852,0,0,497
83,55,96,98803,1184,1184,0,0,97619,0,97619,0,0,0,55940,0,54756,0,0,497
84,51,83,98748,1267,1267,0,0,97481,0,97481,0,0,0,55940,0,54673,0,0,497
85,49,80,98697,1347,1347,0,0,97350,0,97350,0,0,0,55940,0,54593,0,0,497
86,53,91,98648,1438,1438,0,0,97210,0,97210,0,0,0,55940,0,54502,0,0,497
87,47,95,98595,1533,1533,0,0,97062,0,97062,0,0,0,55940,0,54407,0,0,497
88,57,78,98548,1611,1611,0,0,96937,0,96937,0,0,0,55940,0,54329,0,0,497
89,55,87,98491,1698,1698,0,0,96793,0,96793,0,0,0,55940,0,54242,0,0,497
90,56,97,98436,1795,1795,0,0,96641,0,96641,0,0,0,55940,0,54145,0,0,497
91,51,94,98380,1889,1889,0,0,96491,0,96491,0,0,0,55940,0,54051,0,0,497
92,60,100,98329,1989,1989,0,0,96340,0,96340,0,0,0,55940,0,53951,0,0,497
93,59,90,98269,2079,2079,0,0,96190,0,96190,0,0,0,55940,0,53861,0,0,497
94,58,93,98210,2172,2172,0,0,96038,0,96038,0,0,0,55940,0,53768,0,0,497
95,50,86,98152,2258,2258,0,0,95894,0,95894,0,0,0,55940,0,53682,0,0,497
96,54,100,98102,2358,2358,0,0,95744,0,95744,0,0,0,55940,0,53582,0,0,497
97,49,88,98048,2446,2446,0,0,95602,0,95602,0,0,0,55940,0,53494,0,0,497
98,50,96,97999,2542,2542,0,0,95457,0,95457,0,0,0,55940,0,53398,0,0,497
99,58,89,97949,2631,2631,0,0,95318,0,95318,0,0,0,55940,0,53309,0,0,497
100,59,93,97891,2724,2724,0,0,95167,0,95167,0,0,0,55940,0,53216,0,0,497
101,62,97,97832,2821,2821,0,0,95011,0,95011,0,0,0,55940,0,53119,0,0,497
102,54,92,97770,2913,2913,0,0,94857,0,94857,0,0,0,55940,0,53027,0,0,497
103,54,101,97716,3014,3014,0,0,94702,0,94702,0,0,0,55940,0,52926,0,0,497
104,56,91,97662,3105,3105,0,0,94557,0,94557,0,0,0,55940,0,52835,0,0,497
105,52,96,97606,3201,3201,0,0,94405,0,94405,0,0,0,55940,0,52739,0,0,497
106,52,90,97554,3291,3291,0,0,94263,0,94263,0,0,0,55940,0,52649,0,0,497
107,57,91,97502,3382,3382,0,0,94120,0,94120,0,0,0,55940,0,52558,0,0,497
108,54,92,97445,3474,3474,0,0,93971,0,93971,0,0,0,55940,0,52466,0,0,497
109,60,86,97391,3560,3560,0,0,93831,0,93831,0,0,0,55940,0,52380,0,0,497
110,57,85,97331,3645,3645,0,0,93686,0,93686,0,0,0,55940,0,52295,0,0,497
111,63,98,97274,3743,3743,0,0,93531,0,93531,0,0,0,55940,0,52197,0,0,497
112,61,99,97211,3842,3842,0,0,93369,0,93369,0,0,0,55940,0,52098,0,0,497
113,56,99,97150,3941,3941,0,0,93209,0,93209,0,0,0,55940,0,51999,0,0,497
114,64,85,97094,4026,4026,0,0,93068,0,93068,0,0,0,55940,0,51914,0,0,497
115,63,92,97030,4118,4118,0,0,92912,0,92912,0,0,0,55940,0,51822,0,0,497
116,58,89,96967,4207,4207,0,0,92760,0,92760,0,0,0,55940,0,51733,0,0,497
117,57,103,96909,4310,4310,0,0,92599,0,92599,0,0,0,55940,0,51630,0,0,497
118,62,105,96852,4415,4415,0,0,92437,0,92437,0,0,0,55940,0,51525,0,0,497
119,55,91,96790,4506,4506,0,0,92284,0,92284,0,0,0,55940,0,51434,0,0,497
120,56,101,96735,4607,4607,0,0,92128,0,92128,0,0,0,55940,0,51333,0,0,497
121,53,89,96679,4696,4696,0,0,91983,0,91983,0,0,0,55940,0,51244,0,0,497
122,65,93,96626,4789,4789,0,0,91837,0,91837,0,0,0,55940,0,51151,0,0,497
123,63,90,96561,4879,4879,0,0,91682,0,91682,0,0,0,55940,0,51061,0,0,497
124,64,93,96498,4972,4972,0,0,91526,0,91526,0,0,0,55940,0,50968,0,0,497
125,66,103,96434,5075,5075,0,0,91359,0,91359,0,0,0,55940,0,50865,0,0,497
126,61,109,96368,5184,5184,0,0,91184,0,91184,0,0,0,55940,0,50756,0,0,497
127,63,92,96307,5276,5276,0,0,91031,0,91031,0,0,0,55940,0,50664,0,0,497
128,57,101,96244,5377,5377,0,0,90867,0,90867,0,0,0,55940,0,50563,0,0,497
129,57,105,96187,5482,5482,0,0,90705,0,90705,0,0,0,55940,0,50458,0,0,497
130,65,111,96130,5593,5593,0,0,90537,0,90537,0,0,0,55940,0,50347,0,0,497
131,63,103,96065,5696,5696,0,0,90369,0,90369,0,0,0,55940,0,50244,0,0,497
132,64,95,96002,5791,5791,0,0,90211,0,90211,0,0,0,55940,0,50149,0,0,497
133,68,104,95938,5895,5895,0,0,90043,0,90043,0,0,0,55940,0,50045,0,0,497
134,66,97,95870,5992,5992,0,0,89878,0,89878,0,0,0,55940,0,49948,0,0,497
135,65,113,95804,6105,6105,0,0,89699,0,89699,0,0,0,55940,0,49835,0,0,497
136,65,100,95739,6205,6205,0,0,89534,0,89534,0,0,0,55940,0,49735,0,0,497
137,62,107,95674,6312,6312,0,0,89362,0,89362,0,0,0,55940,0,49628,0,0,497
138,58,91,95612,6403,6403,0,0,89209,0,89209,0,0,0,55940,0,49537,0,0,497
139,64,100,95554,6503,6503,0,0,89051,0,89051,0,0,0,55940,0,49437,0,0,497
140,61,112,95490,6615,6615,0,0,88875,0,88875,0,0,0,55940,0,49325,0,0,497
141,64,106,95429,6721,6721,0,0,88708,0,88708,0,0,0,55940,0,49219,0,0,497
142,72,102,95365,6823,6823,0,0,88542,0,88542,0,0,0,55940,0,49117,0,0,497
143,62,115,95293,6938,6938,0,0,88355,0,88355,0,0,0,55940,0,49002,0,0,497
144,59,113,95231,7051,7051,0,0,88180,0,88180,0,0,0,55940,0,48889,0,0,497
145,63,100,95172,7151,7151,0,0,88021,0,88021,0,0,0,55940,0,48789,0,0,497
146,64,106,95109,7257,7257,0,0,87852,0,87852,0,0,0,55940,0,48683,0,0,497
147,70,105,95045,7362,7362,0,0,87683,0,87683,0,0,0,55940,0,48578,0,0,497
148,68,109,94975,7471,7471,0,0,87504,0,87504,0,0,0,55940,0,48469,0,0,497
149,72,102,94907,7573,7573,0,0,87334,0,87334,0,0,0,55940,0,48367,0,0,497
150,71,100,94835,7673,7673,0,0,87162,0,87162,0,0,0,55940,0,48267,0,0,497
151,67,117,94764,7790,7790,0,0,86974,0,86974,0,0,0,55940,0,48150,0,0,497
152,74,118,94697,7908,7908,0,0,86789,0,86789,0,0,0,55940,0,48032,0,0,497
153,63,116,94623,8024,8024,0,0,86599,0,86599,0,0,0,55940,0,47916,0,0,497
154,61,120,94560,8144,8144,0,0,86416,0,86416,0,0,0,55940,0,47796,0,0,497
155,63,114,94499,8258,8258,0,0,86241,0,86241,0,0,0,55940,0,47682,0,0,497
156,73,115,94436,8373,8373,0,0,86063,0,86063,0,0,0,55940,0,47567,0,0,497
157,69,115,94363,8488,8488,0,0,85875,0,85875,0,0,0,55940,0,47452,0,0,497
158,64,108,94294,8596,8596,0,0,85698,0,85698,0,0,0,55940,0,47344,0,0,497
159,70,108,94230,8704,8704,0,0,85526,0,85526,0,0,0,55940,0,47236,0,0,497
160,65,102,94160,8806,8806,0,0,85354,0,85354,0,0,0,55940,0,47134,0,0,497
161,74,113,94095,8919,8919,0,0,85176,0,85176,0,0,0,55940,0,47021,0,0,497
162,70,104,94021,9023,9023,0,0,84998,0,84998,0,0,0,55940,0,46917,0,0,497
163,69,103,93951,9126,9126,0,0,84825,0,84825,0,0,0,55940,0,46814,0,0,497
164,68,112,93882,9238,9238,0,0,84644,0,84644,0,0,0,55940,0,46702,0,0,497
165,74,108,93814,9346,9346,0,0,84468,0,84468,0,0,0,55940,0,46594,0,0,497
166,70,103,93740,9449,9449,0,0,84291,0,84291,0,0,0,55940,0,46491,0,0,497
167,65,119,93670,9568,9568,0,0,84102,0,84102,0,0,0,55940,0,46372,0,0,497
168,66,121,93605,9689,9689,0,0,83916,0,83916,0,0,0,55940,0,46251,0,0,497
169,81,103,93539,9792,9792,0,0,83747,0,83747,0,0,0,55940,0,46148,0,0,497
170,81,99,93458,9891,9891,0,0,83567,0,83567,0,0,0,55940,0,46049,0,0,497
171,77,108,93377,9999,9999,0,0,83378,0,83378,0,0,0,55940,0,45941,0,0,497
172,70,120,93300,10119,10119,0,0,83181,0,83181,0,0,0,55940,0,45821,0,0,497
173,83,122,93230,10241,10241,0,0,82989,0,82989,0,0,0,55940,0,45699,0,0,497
174,79,103,93147,10344,10344,0,0,82803,0,82803,0,0,0,55940,0,45596,0,0,497
175,79,121,93068,10465,10465,0,0,82603,0,82603,0,0,0,55940,0,45475,0,0,497
176,74,103,92989,10568,10568,0,0,82421,0,82421,0,0,0,55940,0,45372,0,0,497
177,71,111,92915,10679,10679,0,0,82236,0,82236,0,0,0,55940,0,45261,0,0,497
178,68,128,92844,10807,10807,0,0,82037,0,82037,0,0,0,55940,0,45133,0,0,497
179,83,106,92776,10913,10913,0,0,81863,0,81863,0,0,0,55940,0,45027,0,0,497
180,75,105,92693,11018,11018,0,0,81675,0,81675,0,0,0,55940,0,44922,0,0,497
181,71,113,92618,11131,11131,0,0,81487,0,81487,0,0,0,55940,0,44809,0,0,497
182,73,118,92547,11249,11249,0,0,81298,0,81298,0,0,0,55940,0,44691,0,0,497
183,78,127,92474,11376,11376,0,0,81098,0,81098,0,0,0,55940,0,44564,0,0,497
184,71,129,92396,11505,11505,0,0,80891,0,80891,0,0,0,55940,0,44435,0,0,497
185,84,104,92325,11609,11609,0,0,80716,0,80716,0,0,0,55940,0,44331,0,0,497
186,83,106,92241,11715,11715,0,0,80526,0,80526,0,0,0,55940,0,44225,0,0,497
187,82,125,92158,11840,11840,0,0,80318,0,80318,0,0,0,55940,0,44100,0,0,497
188,77,110,92076,11950,11950,0,0,80126,0,80126,0,0,0,55940,0,43990,0,0,497
189,81,128,91999,12078,12078,0,0,79921,0,79921,0,0,0,55940,0,43862,0,0,497
190,80,122,91918,12200,12200,0,0,79718,0,79718,0,0,0,55940,0,43740,0,0,497
191,82,107,91838,12307,12307,0,0,79531,0,79531,0,0,0,55940,0,43633,0,0,497
192,71,127,91756,12434,12434,0,0,79322,0,79322,0,0,0,55940,0,43506,0,0,497
193,78,109,91685,12543,12543,0,0,79142,0,79142,0,0,0,55940,0,43397,0,0,497
194,71,116,91607,12659,12659,0,0,78948,0,78948,0,0,0,55940,0,43281,0,0,497
