Price,Bids++,Asks++,Bid_Depth,Ask_Depth,Min_Bid_Ask,Selector_MCV,ln0_MCV,Bid_Surplus,Ask_Surplus,Abs_Delta,Check_on_Delta,S_Delta,Selector_MCI,MCV,Cliff_Value,Slack,Is_MCV_Tie,Is_Min_Delta,Clearing_Price
70,52,74,99467,74,74,0,0,99393,0,99393,0,0,0,55940,0,55866,0,0,497
71,48,82,99415,156,156,0,0,99259,0,99259,0,0,0,55940,0,55784,0,0,497
72,53,76,99367,232,232,0,0,99135,0,99135,0,0,0,55940,0,55708,0,0,497
73,52,77,99314,309,309,0,0,99005,0,99005,0,0,0,55940,0,55631,0,0,497
74,45,86,99262,395,395,0,0,98867,0,98867,0,0,0,55940,0,55545,0,0,497
75,55,82,99217,477,477,0,0,98740,0,98740,0,0,0,55940,0,55463,0,0,497
76,53,93,99162,570,570,0,0,98592,0,98592,0,0,0,55940,0,55370,0,0,497
77,54,81,99109,651,651,0,0,98458,0,98458,0,0,0,55940,0,55289,0,0,497
78,46,90,99055,741,741,0,0,98314,0,98314,0,0,0,55940,0,55199,0,0,497
79,50,84,99009,825,825,0,0,98184,0,98184,0,0,0,55940,0,55115,0,0,497
80,49,89,98959,914,914,0,0,98045,0,98045,0,0,0,55940,0,55026,0,0,497
81,56,88,98910,1002,1002,0,0,97908,0,97908,0,0,0,55940,0,54938,0,0,497
82,53,86,98854,1088,1088,0,0,97766,0,97766,0,0,0,55940,0,54852,0,0,497
83,55,96,98801,1184,1184,0,0,97617,0,97617,0,0,0,55940,0,54756,0,0,497
84,51,83,98746,1267,1267,0,0,97479,0,97479,0,0,0,55940,0,54673,0,0,497
85,49,80,98695,1347,1347,0,0,97348,0,97348,0,0,0,55940,0,54593,0,0,497
86,53,91,98646,1438,1438,0,0,97208,0,97208,0,0,0,55940,0,54502,0,0,497
87,47,95,98593,1533,1533,0,0,97060,0,97060,0,0,0,55940,0,54407,0,0,497
88,57,78,98546,1611,1611,0,0,96935,0,96935,0,0,0,55940,0,54329,0,0,497
89,55,87,98489,1698,1698,0,0,96791,0,96791,0,0,0,55940,0,54242,0,0,497
90,56,97,98434,1795,1795,0,0,96639,0,96639,0,0,0,55940,0,54145,0,0,497
91,51,94,98378,1889,1889,0,0,96489,0,96489,0,0,0,55940,0,54051,0,0,497
92,60,100,98327,1989,1989,0,0,96338,0,96338,0,0,0,55940,0,53951,0,0,497
93,59,90,98267,2079,2079,0,0,96188,0,96188,0,0,0,55940,0,53861,0,0,497
94,58,93,98208,2172,2172,0,0,96036,0,96036,0,0,0,55940,0,53768,0,0,497
95,50,86,98150,2258,2258,0,0,95892,0,95892,0,0,0,55940,0,53682,0,0,497
96,54,100,98100,2358,2358,0,0,95742,0,95742,0,0,0,55940,0,53582,0,0,497
97,49,88,98046,2446,2446,0,0,95600,0,95600,0,0,0,55940,0,53494,0,0,497
98,50,96,97997,2542,2542,0,0,95455,0,95455,0,0,0,55940,0,53398,0,0,497
99,58,89,97947,2631,2631,0,0,95316,0,95316,0,0,0,55940,0,53309,0,0,497
100,59,93,97889,2724,2724,0,0,95165,0,95165,0,0,0,55940,0,53216,0,0,497
101,62,97,97830,2821,2821,0,0,95009,0,95009,0,0,0,55940,0,53119,0,0,497
102,54,92,97768,2913,2913,0,0,94855,0,94855,0,0,0,55940,0,53027,0,0,497
103,54,101,97714,3014,3014,0,0,94700,0,94700,0,0,0,55940,0,52926,0,0,497
104,56,91,97660,3105,3105,0,0,94555,0,94555,0,0,0,55940,0,52835,0,0,497
105,52,96,97604,3201,3201,0,0,94403,0,94403,0,0,0,55940,0,52739,0,0,497
106,52,90,97552,3291,3291,0,0,94261,0,94261,0,0,0,55940,0,52649,0,0,497
107,57,91,97500,3382,3382,0,0,94118,0,94118,0,0,0,55940,0,52558,0,0,497
108,54,92,97443,3474,3474,0,0,93969,0,93969,0,0,0,55940,0,52466,0,0,497
109,60,86,97389,3560,3560,0,0,93829,0,93829,0,0,0,55940,0,52380,0,0,497
110,57,85,97329,3645,3645,0,0,93684,0,93684,0,0,0,55940,0,52295,0,0,497
111,63,98,97272,3743,3743,0,0,93529,0,93529,0,0,0,55940,0,52197,0,0,497
112,61,99,97209,3842,3842,0,0,93367,0,93367,0,0,0,55940,0,52098,0,0,497
113,56,99,97148,3941,3941,0,0,93207,0,93207,0,0,0,55940,0,51999,0,0,497
114,64,85,97092,4026,4026,0,0,93066,0,93066,0,0,0,55940,0,51914,0,0,497
115,63,92,97028,4118,4118,0,0,92910,0,92910,0,0,0,55940,0,51822,0,0,497
116,58,89,96965,4207,4207,0,0,92758,0,92758,0,0,0,55940,0,51733,0,0,497
117,57,103,96907,4310,4310,0,0,92597,0,92597,0,0,0,55940,0,51630,0,0,497
118,62,105,96850,4415,4415,0,0,92435,0,92435,0,0,0,55940,0,51525,0,0,497
119,55,91,96788,4506,4506,0,0,92282,0,92282,0,0,0,55940,0,51434,0,0,497
120,56,101,96733,4607,4607,0,0,92126,0,92126,0,0,0,55940,0,51333,0,0,497
121,53,89,96677,4696,4696,0,0,91981,0,91981,0,0,0,55940,0,51244,0,0,497
122,65,93,96624,4789,4789,0,0,91835,0,91835,0,0,0,55940,0,51151,0,0,497
123,63,90,96559,4879,4879,0,0,91680,0,91680,0,0,0,55940,0,51061,0,0,497
124,64,93,96496,4972,4972,0,0,91524,0,91524,0,0,0,55940,0,50968,0,0,497
125,66,103,96432,5075,5075,0,0,91357,0,91357,0,0,0,55940,0,50865,0,0,497
126,61,109,96366,5184,5184,0,0,91182,0,91182,0,0,0,55940,0,50756,0,0,497
127,63,92,96305,5276,5276,0,0,91029,0,91029,0,0,0,55940,0,50664,0,0,497
128,57,101,96242,5377,5377,0,0,90865,0,90865,0,0,0,55940,0,50563,0,0,497
129,57,105,96185,5482,5482,0,0,90703,0,90703,0,0,0,55940,0,50458,0,0,497
130,65,111,96128,5593,5593,0,0,90535,0,90535,0,0,0,55940,0,50347,0,0,497
131,63,103,96063,5696,5696,0,0,90367,0,90367,0,0,0,55940,0,50244,0,0,497
132,64,95,96000,5791,5791,0,0,90209,0,90209,0,0,0,55940,0,50149,0,0,497
133,68,104,95936,5895,5895,0,0,90041,0,90041,0,0,0,55940,0,50045,0,0,497
134,66,97,95868,5992,5992,0,0,89876,0,89876,0,0,0,55940,0,49948,0,0,497
135,65,113,95802,6105,6105,0,0,89697,0,89697,0,0,0,55940,0,49835,0,0,497
136,65,100,95737,6205,6205,0,0,89532,0,89532,0,0,0,55940,0,49735,0,0,497
137,62,107,95672,6312,6312,0,0,89360,0,89360,0,0,0,55940,0,49628,0,0,497
138,58,91,95610,6403,6403,0,0,89207,0,89207,0,0,0,55940,0,49537,0,0,497
139,64,100,95552,6503,6503,0,0,89049,0,89049,0,0,0,55940,0,49437,0,0,497
140,61,112,95488,6615,6615,0,0,88873,0,88873,0,0,0,55940,0,49325,0,0,497
