Price,Bids++,Asks++,Bid_Depth,Ask_Depth,Min_Bid_Ask,Selector_MCV,ln0_MCV,Bid_Surplus,Ask_Surplus,Abs_Delta,Check_on_Delta,S_Delta,Selector_MCI,MCV,Cliff_Value,Slack,Is_MCV_Tie,Is_Min_Delta,Clearing_Price
70,52,90,10373,90,90,0,0,10283,0,10283,0,0,0,5849,0,5759,0,0,114
71,50,89,10321,179,179,0,0,10142,0,10142,0,0,0,5849,0,5670,0,0,114
72,58,83,10271,262,262,0,0,10009,0,10009,0,0,0,5849,0,5587,0,0,114
73,58,101,10213,363,363,0,0,9850,0,9850,0,0,0,5849,0,5486,0,0,114
74,52,100,10155,463,463,0,0,9692,0,9692,0,0,0,5849,0,5386,0,0,114
75,67,102,10103,565,565,0,0,9538,0,9538,0,0,0,5849,0,5284,0,0,114
76,67,99,10036,664,664,0,0,9372,0,9372,0,0,0,5849,0,5185,0,0,114
77,70,97,9969,761,761,0,0,9208,0,9208,0,0,0,5849,0,5088,0,0,114
78,62,96,9899,857,857,0,0,9042,0,9042,0,0,0,5849,0,4992,0,0,114
79,70,119,9837,976,976,0,0,8861,0,8861,0,0,0,5849,0,4873,0,0,114
80,71,110,9767,1086,1086,0,0,8681,0,8681,0,0,0,5849,0,4763,0,0,114
81,84,106,9696,1192,1192,0,0,8504,0,8504,0,0,0,5849,0,4657,0,0,114
82,82,112,9612,1304,1304,0,0,8308,0,8308,0,0,0,5849,0,4545,0,0,114
83,88,122,9530,1426,1426,0,0,8104,0,8104,0,0,0,5849,0,4423,0,0,114
84,83,113,9442,1539,1539,0,0,7903,0,7903,0,0,0,5849,0,4310,0,0,114
85,81,136,9359,1675,1675,0,0,7684,0,7684,0,0,0,5849,0,4174,0,0,114
86,91,135,9278,1810,1810,0,0,7468,0,7468,0,0,0,5849,0,4039,0,0,114
87,83,137,9187,1947,1947,0,0,7240,0,7240,0,0,0,5849,0,3902,0,0,114
88,103,130,9104,2077,2077,0,0,7027,0,7027,0,0,0,5849,0,3772,0,0,114
89,102,138,9001,2215,2215,0,0,6786,0,6786,0,0,0,5849,0,3634,0,0,114
90,107,139,8899,2354,2354,0,0,6545,0,6545,0,0,0,5849,0,3495,0,0,114
91,100,143,8792,2497,2497,0,0,6295,0,6295,0,0,0,5849,0,3352,0,0,114
92,119,126,8692,2623,2623,0,0,6069,0,6069,0,0,0,5849,0,3226,0,0,114
93,120,139,8573,2762,2762,0,0,5811,0,5811,0,0,0,5849,0,3087,0,0,114
94,119,128,8453,2890,2890,0,0,5563,0,5563,0,0,0,5849,0,2959,0,0,114
