Price,Bids++,Asks++,Bid_Depth,Ask_Depth,Min_Bid_Ask,Selector_MCV,ln0_MCV,Bid_Surplus,Ask_Surplus,Abs_Delta,Check_on_Delta,S_Delta,Selector_MCI,MCV,Cliff_Value,Slack,Is_MCV_Tie,Is_Min_Delta,Clearing_Price
0,5,30,2557,30,30,0,0,2527,0,2527,0,0,0,1588,0,0,0,0,0
1,5,30,2552,60,60,0,0,2492,0,2492,0,0,0,1588,0,0,0,0,0
2,5,30,2547,90,90,0,0,2457,0,2457,0,0,0,1588,0,0,0,0,0
3,5,30,2542,120,120,0,0,2422,0,2422,0,0,0,1588,0,0,0,0,0
4,5,35,2537,155,155,0,0,2382,0,2382,0,0,0,1588,0,0,0,0,0
5,5,30,2532,185,185,0,0,2347,0,2347,0,0,0,1588,0,0,0,0,0
6,5,70,2527,255,255,0,0,2272,0,2272,0,0,0,1588,0,0,0,0,0
7,5,136,2522,391,391,0,0,2131,0,2131,0,0,0,1588,0,0,0,0,0
8,5,66,2517,457,457,0,0,2060,0,2060,0,0,0,1588,0,0,0,0,0
9,5,30,2512,487,487,0,0,2025,0,2025,0,0,0,1588,0,0,0,0,0
10,5,30,2507,517,517,0,0,1990,0,1990,0,0,0,1588,0,0,0,0,0
11,5,30,2502,547,547,0,0,1955,0,1955,0,0,0,1588,0,0,0,0,0
12,5,30,2497,577,577,0,0,1920,0,1920,0,0,0,1588,0,0,0,0,0
13,5,30,2492,607,607,0,0,1885,0,1885,0,0,0,1588,0,0,0,0,0
14,5,22,2487,629,629,0,0,1858,0,1858,0,0,0,1588,0,0,0,0,0
15,5,22,2482,651,651,0,0,1831,0,1831,0,0,0,1588,0,0,0,0,0
16,5,22,2477,673,673,0,0,1804,0,1804,0,0,0,1588,0,0,0,0,0
17,5,22,2472,695,695,0,0,1777,0,1777,0,0,0,1588,0,0,0,0,0
18,5,22,2467,717,717,0,0,1750,0,1750,0,0,0,1588,0,0,0,0,0
19,5,22,2462,739,739,0,0,1723,0,1723,0,0,0,1588,0,0,0,0,0
20,5,22,2457,761,761,0,0,1696,0,1696,0,0,0,1588,0,0,0,0,0
21,5,22,2452,783,783,0,0,1669,0,1669,0,0,0,1588,0,0,0,0,0
22,5,22,2447,805,805,0,0,1642,0,1642,0,0,0,1588,0,0,0,0,0
23,5,22,2442,827,827,0,0,1615,0,1615,0,0,0,1588,0,0,0,0,0
24,5,22,2437,849,849,0,0,1588,0,1588,0,0,0,1588,0,0,0,0,0
25,5,22,2432,871,871,0,0,1561,0,1561,0,0,0,1588,0,0,0,0,0
26,5,22,2427,893,893,0,0,1534,0,1534,0,0,0,1588,0,0,0,0,0
27,5,22,2422,915,915,0,0,1507,0,1507,0,0,0,1588,0,0,0,0,0
28,5,30,2417,945,945,0,0,1472,0,1472,0,0,0,1588,0,0,0,0,0
29,70,30,2412,975,975,0,0,1437,0,1437,0,0,0,1588,0,0,0,0,0
30,70,30,2342,1005,1005,0,0,1337,0,1337,0,0,0,1588,0,0,0,0,0
31,35,30,2272,1035,1035,0,0,1237,0,1237,0,0,0,1588,0,0,0,0,0
32,35,30,2237,1065,1065,0,0,1172,0,1172,0,0,0,1588,0,0,0,0,0
33,35,30,2202,1095,1095,0,0,1107,0,1107,0,0,0,1588,0,0,0,0,0
34,35,30,2167,1125,1125,0,0,1042,0,1042,0,0,0,1588,0,0,0,0,0
35,136,30,2132,1155,1155,0,0,977,0,977,0,0,0,1588,0,0,0,0,0
36,136,30,1996,1185,1185,0,0,811,0,811,0,0,0,1588,0,0,0,0,0
37,136,30,1860,1215,1215,0,0,645,0,645,0,0,0,1588,0,0,0,0,0
38,136,30,1724,1245,1245,0,0,479,0,479,0,0,0,1588,0,0,0,0,0
39,136,2530,1588,3775,1588,0,0,0,2187,2187,1,0,0,1588,0,0,0,0,0
40,136,2530,1452,6305,1452,0,0,0,4853,4853,0,0,0,1588,0,0,0,0,0
41,136,2530,1316,8835,1316,0,0,0,7519,7519,0,0,0,1588,0,0,0,0,0
42,136,2530,1180,11365,1180,0,0,0,10185,10185,0,0,0,1588,0,0,0,0,0
43,136,2530,1044,13895,1044,0,0,0,12851,12851,0,0,0,1588,0,0,0,0,0
44,66,2530,908,16425,908,0,0,0,15517,15517,0,0,0,1588,0,0,0,0,0
45,5,2530,842,18955,842,0,0,0,18113,18113,0,0,0,1588,0,0,0,0,0
46,5,2530,837,21485,837,0,0,0,20648,20648,0,0,0,1588,0,0,0,0,0
47,5,2530,832,24015,832,0,0,0,23183,23183,0,0,0,1588,0,0,0,0,0
48,5,2530,827,26545,827,0,0,0,25718,25718,0,0,0,1588,0,0,0,0,0
49,5,2530,822,29075,822,0,0,0,28253,28253,0,0,0,1588,0,0,0,0,0
50,5,2530,817,31605,817,0,0,0,30788,30788,0,0,0,1588,0,0,0,0,0
51,5,2530,812,34135,812,0,0,0,33323,33323,0,0,0,1588,0,0,0,0,0
52,5,2530,807,36665,807,0,0,0,35858,35858,0,0,0,1588,0,0,0,0,0
53,5,2530,802,39195,802,0,0,0,38393,38393,0,0,0,1588,0,0,0,0,0
54,5,2530,797,41725,797,0,0,0,40928,40928,0,0,0,1588,0,0,0,0,0
55,5,2530,792,44255,792,0,0,0,43463,43463,0,0,0,1588,0,0,0,0,0
56,5,2530,787,46785,787,0,0,0,45998,45998,0,0,0,1588,0,0,0,0,0
57,105,2530,782,49315,782,0,0,0,48533,48533,0,0,0,1588,0,0,0,0,0
58,105,2530,677,51845,677,0,0,0,51168,51168,0,0,0,1588,0,0,0,0,0
59,55,2530,572,54375,572,0,0,0,53803,53803,0,0,0,1588,0,0,0,0,0
60,55,2530,517,56905,517,0,0,0,56388,56388,0,0,0,1588,0,0,0,0,0
61,60,2530,462,59435,462,0,0,0,58973,58973,0,0,0,1588,0,0,0,0,0
62,60,2530,402,61965,402,0,0,0,61563,61563,0,0,0,1588,0,0,0,0,0
63,60,2530,342,64495,342,0,0,0,64153,64153,0,0,0,1588,0,0,0,0,0
64,60,2530,282,67025,282,0,0,0,66743,66743,0,0,0,1588,0,0,0,0,0
65,60,2530,222,69555,222,0,0,0,69333,69333,0,0,0,1588,0,0,0,0,0
66,55,2530,162,72085,162,0,0,0,71923,71923,0,0,0,1588,0,0,0,0,0
67,3,2530,107,74615,107,0,0,0,74508,74508,0,0,0,1588,0,0,0,0,0
68,1,2530,104,77145,104,0,0,0,77041,77041,0,0,0,1588,0,0,0,0,0
69,1,2530,103,79675,103,0,0,0,79572,79572,0,0,0,1588,0,0,0,0,0
70,5,2530,102,82205,102,0,0,0,82103,82103,0,0,0,1588,0,0,0,0,0
71,5,2530,97,84735,97,0,0,0,84638,84638,0,0,0,1588,0,0,0,0,0
72,1,2530,92,87265,92,0,0,0,87173,87173,0,0,0,1588,0,0,0,0,0
73,1,2530,91,89795,91,0,0,0,89704,89704,0,0,0,1588,0,0,0,0,0
74,1,2530,90,92325,90,0,0,0,92235,92235,0,0,0,1588,0,0,0,0,0
