ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol
2026-06-01 09:30:00.026459064-04:00,2026-06-01 13:30:00.026287682+00:00,0,2,38,T,N,0,309.31,100,128,171382,49493439,AAPL
2026-06-01 09:30:00.026503799-04:00,2026-06-01 13:30:00.026320906+00:00,0,2,38,T,N,0,309.31,85,128,182893,49493464,AAPL
2026-06-01 09:30:00.101278605-04:00,2026-06-01 13:30:00.101104817+00:00,0,2,38,T,N,0,309.31,200,128,173788,49538791,AAPL
2026-06-01 09:30:00.101741622-04:00,2026-06-01 13:30:00.101567604+00:00,0,2,38,T,N,0,309.31,100,128,174018,49539461,AAPL
2026-06-01 09:30:00.109293272-04:00,2026-06-01 13:30:00.109125573+00:00,0,2,38,T,N,0,309.31,100,128,167699,49544896,AAPL
2026-06-01 09:30:00.114062951-04:00,2026-06-01 13:30:00.113892614+00:00,0,2,38,T,N,0,309.31,100,128,170337,49549866,AAPL
2026-06-01 09:30:00.124954462-04:00,2026-06-01 13:30:00.124776316+00:00,0,2,38,T,N,0,309.31,200,128,178146,49556722,AAPL
2026-06-01 09:30:00.125189704-04:00,2026-06-01 13:30:00.125015178+00:00,0,2,38,T,N,0,309.31,200,128,174526,49556936,AAPL
2026-06-01 09:30:00.125600794-04:00,2026-06-01 13:30:00.125421737+00:00,0,2,38,T,N,0,309.31,100,128,179057,49557324,AAPL
2026-06-01 09:30:00.138519003-04:00,2026-06-01 13:30:00.138345992+00:00,0,2,38,T,N,0,309.31,200,128,173011,49563881,AAPL
2026-06-01 09:30:00.139815971-04:00,2026-06-01 13:30:00.139642143+00:00,0,2,38,T,N,0,309.31,2911,0,173828,49565105,AAPL
2026-06-01 09:30:00.139815971-04:00,2026-06-01 13:30:00.139642143+00:00,0,2,38,T,N,0,309.37,3375,0,173828,49565106,AAPL
2026-06-01 09:30:00.139815971-04:00,2026-06-01 13:30:00.139642143+00:00,0,2,38,T,B,0,309.76,22,0,173828,49565107,AAPL
2026-06-01 09:30:00.139815971-04:00,2026-06-01 13:30:00.139642143+00:00,0,2,38,T,N,0,309.76,200,128,173828,49565108,AAPL
2026-06-01 09:30:00.142128566-04:00,2026-06-01 13:30:00.141953465+00:00,0,2,38,T,N,0,309.76,200,128,175101,49567963,AAPL
2026-06-01 09:30:00.144014502-04:00,2026-06-01 13:30:00.143842148+00:00,0,2,38,T,N,0,309.76,100,128,172354,49570596,AAPL
2026-06-01 09:30:00.145163153-04:00,2026-06-01 13:30:00.144990672+00:00,0,2,38,T,N,0,309.76,100,128,172481,49572336,AAPL
2026-06-01 09:30:00.147525526-04:00,2026-06-01 13:30:00.147350932+00:00,0,2,38,T,N,0,309.76,200,128,174594,49575551,AAPL
2026-06-01 09:30:00.148624716-04:00,2026-06-01 13:30:00.148452443+00:00,0,2,38,T,N,0,309.76,100,128,172273,49577185,AAPL
2026-06-01 09:30:00.151669054-04:00,2026-06-01 13:30:00.151495946+00:00,0,2,38,T,N,0,309.76,100,128,173108,49581814,AAPL
2026-06-01 09:30:00.152309075-04:00,2026-06-01 13:30:00.152135277+00:00,0,2,38,T,N,0,309.76,200,128,173798,49582861,AAPL
2026-06-01 09:30:00.153871853-04:00,2026-06-01 13:30:00.153701935+00:00,0,2,38,T,N,0,309.76,100,128,169918,49585023,AAPL
2026-06-01 09:30:00.155991913-04:00,2026-06-01 13:30:00.155818290+00:00,0,2,38,T,N,0,309.76,20,128,173623,49587513,AAPL
2026-06-01 09:30:00.157104030-04:00,2026-06-01 13:30:00.156934126+00:00,0,2,38,T,N,0,309.76,100,128,169904,49588779,AAPL
2026-06-01 09:30:00.157341770-04:00,2026-06-01 13:30:00.157170366+00:00,0,2,38,T,N,0,309.76,100,128,171404,49589020,AAPL
2026-06-01 09:30:00.157352977-04:00,2026-06-01 13:30:00.157181452+00:00,0,2,38,T,N,0,309.76,200,128,171525,49589034,AAPL
2026-06-01 09:30:00.158960801-04:00,2026-06-01 13:30:00.158792405+00:00,0,2,38,T,N,0,309.76,20,128,168396,49591009,AAPL
2026-06-01 09:30:00.160004769-04:00,2026-06-01 13:30:00.159836749+00:00,0,2,38,T,N,0,309.76,29,128,168020,49591386,AAPL
2026-06-01 09:30:00.317866745-04:00,2026-06-01 13:30:00.317698407+00:00,0,2,38,T,B,0,309.5,178,0,168338,49750446,AAPL
2026-06-01 09:30:00.503101600-04:00,2026-06-01 13:30:00.502918282+00:00,0,2,38,T,N,0,309.52,2,128,183318,49842859,AAPL
2026-06-01 09:30:00.548287257-04:00,2026-06-01 13:30:00.548112570+00:00,0,2,38,T,N,0,309.52,2,128,174687,49874661,AAPL
2026-06-01 09:30:00.548349741-04:00,2026-06-01 13:30:00.548179311+00:00,0,2,38,T,N,0,309.52,76,0,170430,49874712,AAPL
2026-06-01 09:30:00.548349741-04:00,2026-06-01 13:30:00.548179311+00:00,0,2,38,T,N,0,309.51,6,0,170430,49874713,AAPL
2026-06-01 09:30:00.548349741-04:00,2026-06-01 13:30:00.548179311+00:00,0,2,38,T,N,0,309.51,24,128,170430,49874714,AAPL
2026-06-01 09:30:00.548355602-04:00,2026-06-01 13:30:00.548179311+00:00,0,2,38,T,N,0,309.51,34,128,176291,49874715,AAPL
2026-06-01 09:30:00.555550773-04:00,2026-06-01 13:30:00.555381222+00:00,0,2,38,T,A,0,309.5,2,0,169551,49879028,AAPL
2026-06-01 09:30:00.556437538-04:00,2026-06-01 13:30:00.556255727+00:00,0,2,38,T,A,0,309.49,18,0,181811,49879489,AAPL
2026-06-01 09:30:00.613559845-04:00,2026-06-01 13:30:00.613388934+00:00,0,2,38,T,N,0,309.51,1,128,170911,49904521,AAPL
2026-06-01 09:30:00.695710317-04:00,2026-06-01 13:30:00.695535707+00:00,0,2,38,T,N,0,309.54,11,128,174610,49957908,AAPL
2026-06-01 09:30:01.002547818-04:00,2026-06-01 13:30:01.002377651+00:00,0,2,38,T,N,0,309.69,4,128,170167,50119662,AAPL
2026-06-01 09:30:01.003032007-04:00,2026-06-01 13:30:01.002856694+00:00,0,2,38,T,B,0,309.7,4,0,175313,50120222,AAPL
2026-06-01 09:30:01.003039069-04:00,2026-06-01 13:30:01.002862228+00:00,0,2,38,T,N,0,309.7,4,128,176841,50120230,AAPL
2026-06-01 09:30:01.004698165-04:00,2026-06-01 13:30:01.004445674+00:00,0,2,38,T,N,0,309.63,134,128,252491,50121127,AAPL
2026-06-01 09:30:01.004711449-04:00,2026-06-01 13:30:01.004465093+00:00,0,2,38,T,N,0,309.63,68,128,246356,50121144,AAPL
2026-06-01 09:30:01.009636308-04:00,2026-06-01 13:30:01.009467202+00:00,0,2,38,T,N,0,309.65,35,128,169106,50125716,AAPL
2026-06-01 09:30:01.012446813-04:00,2026-06-01 13:30:01.012278738+00:00,0,2,38,T,B,0,309.76,20,0,168075,50126729,AAPL
2026-06-01 09:30:01.017002996-04:00,2026-06-01 13:30:01.016832005+00:00,0,2,38,T,N,0,309.76,1,128,170991,50131378,AAPL
2026-06-01 09:30:01.018819212-04:00,2026-06-01 13:30:01.018646873+00:00,0,2,38,T,N,0,309.76,1,128,172339,50133157,AAPL
2026-06-01 09:30:01.024617704-04:00,2026-06-01 13:30:01.024447063+00:00,0,2,38,T,N,0,309.76,1,128,170641,50136984,AAPL
2026-06-01 09:30:01.025282792-04:00,2026-06-01 13:30:01.025112657+00:00,0,2,38,T,N,0,309.76,155,128,170135,50137600,AAPL
2026-06-01 09:30:01.031253413-04:00,2026-06-01 13:30:01.031075434+00:00,0,2,38,T,N,0,309.86,1,128,177979,50144548,AAPL
2026-06-01 09:30:01.042322993-04:00,2026-06-01 13:30:01.042150875+00:00,0,2,38,T,N,0,309.76,5,128,172118,50155355,AAPL
2026-06-01 09:30:01.044676212-04:00,2026-06-01 13:30:01.044504095+00:00,0,2,38,T,N,0,309.76,1,128,172117,50157283,AAPL
2026-06-01 09:30:01.045061713-04:00,2026-06-01 13:30:01.044890564+00:00,0,2,38,T,N,0,309.76,1,128,171149,50157371,AAPL
2026-06-01 09:30:01.045615016-04:00,2026-06-01 13:30:01.045443938+00:00,0,2,38,T,N,0,309.76,1,128,171078,50157898,AAPL
2026-06-01 09:30:01.056893984-04:00,2026-06-01 13:30:01.056719833+00:00,0,2,38,T,N,0,309.76,160,128,174151,50166076,AAPL
2026-06-01 09:30:01.059525917-04:00,2026-06-01 13:30:01.059339352+00:00,0,2,38,T,N,0,309.76,64,128,186565,50167443,AAPL
2026-06-01 09:30:01.070854657-04:00,2026-06-01 13:30:01.070686780+00:00,0,2,38,T,N,0,309.76,3,128,167877,50176947,AAPL
2026-06-01 09:30:01.073759674-04:00,2026-06-01 13:30:01.073592057+00:00,0,2,38,T,N,0,309.76,40,128,167617,50177381,AAPL
2026-06-01 09:30:01.077590195-04:00,2026-06-01 13:30:01.077412968+00:00,0,2,38,T,N,0,309.76,6,128,177227,50178468,AAPL
2026-06-01 09:30:01.079099480-04:00,2026-06-01 13:30:01.078924254+00:00,0,2,38,T,N,0,309.76,1,128,175226,50180541,AAPL
2026-06-01 09:30:01.079419294-04:00,2026-06-01 13:30:01.079246604+00:00,0,2,38,T,N,0,309.76,4,128,172690,50180932,AAPL
2026-06-01 09:30:01.079795685-04:00,2026-06-01 13:30:01.079609957+00:00,0,2,38,T,N,0,309.76,2,128,185728,50181378,AAPL
2026-06-01 09:30:01.085583797-04:00,2026-06-01 13:30:01.085415901+00:00,0,2,38,T,N,0,309.76,3,128,167896,50187594,AAPL
2026-06-01 09:30:01.087773195-04:00,2026-06-01 13:30:01.087595361+00:00,0,2,38,T,N,0,309.76,1,128,177834,50188586,AAPL
2026-06-01 09:30:01.090524025-04:00,2026-06-01 13:30:01.090354877+00:00,0,2,38,T,N,0,309.76,9,128,169148,50191200,AAPL
2026-06-01 09:30:01.098643797-04:00,2026-06-01 13:30:01.098470566+00:00,0,2,38,T,N,0,309.76,19,128,173231,50194034,AAPL
2026-06-01 09:30:01.098690471-04:00,2026-06-01 13:30:01.098522289+00:00,0,2,38,T,N,0,309.76,1,128,168182,50194063,AAPL
2026-06-01 09:30:01.100954559-04:00,2026-06-01 13:30:01.100786897+00:00,0,2,38,T,N,0,309.76,1,128,167662,50194777,AAPL
2026-06-01 09:30:01.104329979-04:00,2026-06-01 13:30:01.104146417+00:00,0,2,38,T,N,0,309.76,3,128,183562,50197489,AAPL
2026-06-01 09:30:01.104560058-04:00,2026-06-01 13:30:01.104387580+00:00,0,2,38,T,N,0,309.76,3,128,172478,50197797,AAPL
2026-06-01 09:30:01.104804248-04:00,2026-06-01 13:30:01.104626612+00:00,0,2,38,T,N,0,309.76,12,128,177636,50198101,AAPL
2026-06-01 09:30:01.105121065-04:00,2026-06-01 13:30:01.104947173+00:00,0,2,38,T,N,0,309.76,6,128,173892,50198569,AAPL
2026-06-01 09:30:01.107063638-04:00,2026-06-01 13:30:01.106894988+00:00,0,2,38,T,N,0,309.76,2,128,168650,50201741,AAPL
2026-06-01 09:30:01.109963998-04:00,2026-06-01 13:30:01.109792999+00:00,0,2,38,T,N,0,309.76,32,128,170999,50204219,AAPL
2026-06-01 09:30:01.111034532-04:00,2026-06-01 13:30:01.110864693+00:00,0,2,38,T,N,0,309.76,3,128,169839,50204703,AAPL
2026-06-01 09:30:01.111424845-04:00,2026-06-01 13:30:01.111257233+00:00,0,2,38,T,N,0,309.76,14,128,167612,50204825,AAPL
2026-06-01 09:30:01.112116166-04:00,2026-06-01 13:30:01.111948511+00:00,0,2,38,T,N,0,309.76,3,128,167655,50204964,AAPL
2026-06-01 09:30:01.112650352-04:00,2026-06-01 13:30:01.112477840+00:00,0,2,38,T,N,0,309.76,3,128,172512,50205306,AAPL
2026-06-01 09:30:01.113160695-04:00,2026-06-01 13:30:01.112987732+00:00,0,2,38,T,N,0,309.76,48,128,172963,50206022,AAPL
2026-06-01 09:30:01.113630325-04:00,2026-06-01 13:30:01.113460610+00:00,0,2,38,T,N,0,309.76,19,128,169715,50206383,AAPL
2026-06-01 09:30:01.113754948-04:00,2026-06-01 13:30:01.113583283+00:00,0,2,38,T,N,0,309.76,2,128,171665,50206541,AAPL
2026-06-01 09:30:01.123608705-04:00,2026-06-01 13:30:01.123083224+00:00,0,2,38,T,N,0,309.76,3,0,525481,50206985,AAPL
2026-06-01 09:30:01.123608705-04:00,2026-06-01 13:30:01.123083793+00:00,0,2,38,T,N,0,309.76,3,128,524912,50206987,AAPL
2026-06-01 09:30:01.124440914-04:00,2026-06-01 13:30:01.124247174+00:00,0,2,38,T,N,0,309.76,6,128,193740,50208640,AAPL
2026-06-01 09:30:01.124832264-04:00,2026-06-01 13:30:01.124662227+00:00,0,2,38,T,N,0,309.76,64,128,170037,50209119,AAPL
2026-06-01 09:30:01.124881749-04:00,2026-06-01 13:30:01.124710226+00:00,0,2,38,T,N,0,309.76,36,128,171523,50209170,AAPL
2026-06-01 09:30:01.127524179-04:00,2026-06-01 13:30:01.127349015+00:00,0,2,38,T,N,0,309.7,4,128,175164,50212019,AAPL
2026-06-01 09:30:01.128724890-04:00,2026-06-01 13:30:01.128552083+00:00,0,2,38,T,N,0,309.7,9,128,172807,50213495,AAPL
2026-06-01 09:30:01.129297577-04:00,2026-06-01 13:30:01.129124475+00:00,0,2,38,T,N,0,309.7,19,128,173102,50213994,AAPL
2026-06-01 09:30:01.130063409-04:00,2026-06-01 13:30:01.129892809+00:00,0,2,38,T,N,0,309.7,4,128,170600,50214454,AAPL
2026-06-01 09:30:01.133246469-04:00,2026-06-01 13:30:01.133073099+00:00,0,2,38,T,N,0,309.7,12,128,173370,50216325,AAPL
2026-06-01 09:30:01.133279903-04:00,2026-06-01 13:30:01.133111113+00:00,0,2,38,T,N,0,309.7,252,128,168790,50216344,AAPL
2026-06-01 09:30:01.133760858-04:00,2026-06-01 13:30:01.133592570+00:00,0,2,38,T,N,0,309.67,32,128,168288,50216585,AAPL
